COMPETITOR,COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL
Rappi,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Delivery Fee (MXN),21.68,20.11,18.33,19.61,18.84,17.76,18.52,19.2,20.74
Rappi,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Service Fee (%),0.1315545522,0.1037071915,0.1252919631,0.1146460432,0.1104362805,0.1263710801,0.1175787521,0.1222723182,0.1019036549
Rappi,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Avg Delivery Time (mins),22.84,22.72,23.77,22.53,25.41,22.49,28.63,26.38,23.34
Rappi,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Customer Satisfaction Score,4.59,4.43,4.47,4.38,4.41,4.35,4.4,4.34,4.38
Rappi,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Retail SST > SS CVR,0.82561649,0.841236315,0.8693837119,0.8503668881,0.9210275452,0.8645953621,0.8816182943,0.958989758,0.8337644562
Rappi,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Restaurants SST > SS CVR,0.6869007938,0.5748385728,0.6697993265,0.5907025998,0.5646248467,0.596105251,0.6646129578,0.6340481799,0.6362408518
Rappi,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Orders,123860.44,123700.61,144919.61,121216.7,123890.83,157457.27,114544.79,134026.11,113453.84
Rappi,MX,Mexico City,Coyoacán,Mixed,Prioritized,Delivery Fee (MXN),25.81,28.15,22.48,24.06,22.36,27.58,24.83,23.45,22.53
Rappi,MX,Mexico City,Coyoacán,Mixed,Prioritized,Service Fee (%),0.1389113835,0.1207592069,0.1399769513,0.1381110757,0.1189603073,0.1201376992,0.1325424692,0.1319282562,0.1167349093
Rappi,MX,Mexico City,Coyoacán,Mixed,Prioritized,Avg Delivery Time (mins),32.33,28.98,35.64,34.71,32.72,32.89,31.99,36.68,30.63
Rappi,MX,Mexico City,Coyoacán,Mixed,Prioritized,Customer Satisfaction Score,4.46,4.21,4.36,4.26,4.09,4.25,4.18,4.33,4.18
Rappi,MX,Mexico City,Coyoacán,Mixed,Prioritized,Retail SST > SS CVR,0.80752652,0.7308991486,0.7024592263,0.7697301318,0.828010283,0.7954165459,0.7111479585,0.753510378,0.7173660536
Rappi,MX,Mexico City,Coyoacán,Mixed,Prioritized,Restaurants SST > SS CVR,0.4875897218,0.5404798095,0.4729362523,0.5050168088,0.4698759987,0.4549391,0.5223096858,0.5791218538,0.5359525909
Rappi,MX,Mexico City,Coyoacán,Mixed,Prioritized,Orders,90897.34,73804.59,121161.42,85413.14,100707.6,67348.39,108488.84,68180.62,83796.7
Rappi,MX,Mexico City,Narvarte,Mixed,Prioritized,Delivery Fee (MXN),21.24,25.94,25.24,22.02,27.27,26.7,25.24,24.7,21.16
Rappi,MX,Mexico City,Narvarte,Mixed,Prioritized,Service Fee (%),0.1149543369,0.1178416517,0.1298457709,0.1413434041,0.1195080018,0.1317524317,0.1342323757,0.1315756955,0.1250553522
Rappi,MX,Mexico City,Narvarte,Mixed,Prioritized,Avg Delivery Time (mins),33.13,34.91,36.0,30.2,30.25,32.43,29.89,35.95,28.84
Rappi,MX,Mexico City,Narvarte,Mixed,Prioritized,Customer Satisfaction Score,4.17,4.15,4.19,4.35,4.08,4.21,4.38,4.31,4.22
Rappi,MX,Mexico City,Narvarte,Mixed,Prioritized,Retail SST > SS CVR,0.7556840786,0.7496467014,0.7387473602,0.7182988086,0.7302769862,0.734721736,0.7947451563,0.7834567366,0.8274920758
Rappi,MX,Mexico City,Narvarte,Mixed,Prioritized,Restaurants SST > SS CVR,0.5581595192,0.444476988,0.5264394876,0.5395573721,0.5205518733,0.4482329805,0.5735333838,0.5633329324,0.5075846168
Rappi,MX,Mexico City,Narvarte,Mixed,Prioritized,Orders,113396.54,84814.29,82294.99,109132.84,116496.67,79788.0,117869.97,113130.98,110458.74
Rappi,MX,Mexico City,Mixcoac,Mixed,Prioritized,Delivery Fee (MXN),23.47,24.46,26.39,27.35,23.24,26.21,25.65,28.84,27.59
Rappi,MX,Mexico City,Mixcoac,Mixed,Prioritized,Service Fee (%),0.1474685711,0.1251867581,0.1121242371,0.1164866398,0.1144098861,0.1252618015,0.1113661972,0.1338748469,0.1236772909
Rappi,MX,Mexico City,Mixcoac,Mixed,Prioritized,Avg Delivery Time (mins),35.41,28.73,33.62,35.08,36.36,35.55,33.87,32.16,36.34
Rappi,MX,Mexico City,Mixcoac,Mixed,Prioritized,Customer Satisfaction Score,4.32,4.27,4.11,4.17,4.14,4.03,4.38,4.25,4.24
Rappi,MX,Mexico City,Mixcoac,Mixed,Prioritized,Retail SST > SS CVR,0.791084393,0.7857674918,0.8395147259,0.7709146673,0.8304574061,0.8514828983,0.7919636111,0.7155906589,0.7146838416
Rappi,MX,Mexico City,Mixcoac,Mixed,Prioritized,Restaurants SST > SS CVR,0.5737987168,0.481404154,0.6259191575,0.5989440652,0.5307213985,0.5486535959,0.5724696783,0.4898535275,0.5552109356
Rappi,MX,Mexico City,Mixcoac,Mixed,Prioritized,Orders,79078.17,78343.36,122780.38,118707.7,103598.29,73260.31,85227.37,106100.95,70736.94
Rappi,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Delivery Fee (MXN),24.99,27.09,25.11,26.54,26.24,24.5,27.21,28.1,27.13
Rappi,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Service Fee (%),0.1393893309,0.1367875851,0.1190029305,0.1407817587,0.139847646,0.1252077588,0.1186516574,0.1433495681,0.1088466227
Rappi,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Avg Delivery Time (mins),34.2,32.42,33.18,33.16,34.2,35.25,34.2,29.83,32.34
Rappi,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Customer Satisfaction Score,4.23,4.13,4.22,4.17,4.47,4.26,4.25,4.08,4.29
Rappi,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Retail SST > SS CVR,0.7990212849,0.7705152902,0.7609562534,0.7416317623,0.7860910663,0.7226435544,0.7836983655,0.8191072202,0.7919941989
Rappi,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Restaurants SST > SS CVR,0.5285757446,0.5059046287,0.6116796041,0.5857402166,0.4634302354,0.5534105364,0.5953416922,0.5952655048,0.6141971903
Rappi,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Orders,114534.07,110233.32,70835.71,118208.21,109502.17,71315.74,103115.45,79918.61,74170.63
Rappi,MX,Mexico City,Doctores,Non Wealthy,Not Prioritized,Delivery Fee (MXN),31.6,30.96,26.91,31.86,33.29,36.21,34.15,31.51,31.9
Rappi,MX,Mexico City,Doctores,Non Wealthy,Not Prioritized,Service Fee (%),0.1256914362,0.1464843489,0.1381978428,0.1331998534,0.1224076741,0.1182603075,0.1328826037,0.1443238516,0.149288416
Rappi,MX,Mexico City,Doctores,Non Wealthy,Not Prioritized,Avg Delivery Time (mins),36.0,43.99,36.65,35.79,45.53,45.35,40.41,37.18,43.19
Rappi,MX,Mexico City,Doctores,Non Wealthy,Not Prioritized,Customer Satisfaction Score,4.0,4.05,3.77,3.85,4.1,4.16,3.92,4.06,4.06
Rappi,MX,Mexico City,Doctores,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.6665786951,0.784788527,0.6450864667,0.5899790733,0.6444501293,0.7700334894,0.729314007,0.6554357435,0.7491615249
Rappi,MX,Mexico City,Doctores,Non Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.5342249516,0.4762846415,0.4906632731,0.5309165251,0.4456016598,0.5213212712,0.4999367607,0.4911781228,0.5281269809
Rappi,MX,Mexico City,Doctores,Non Wealthy,Not Prioritized,Orders,45205.78,74830.71,74083.76,52848.67,57949.27,55177.92,45729.89,75727.95,64415.94
Rappi,MX,Mexico City,Iztapalapa,Non Wealthy,Not Prioritized,Delivery Fee (MXN),34.42,37.52,29.07,29.76,32.4,31.5,34.88,28.68,29.04
Rappi,MX,Mexico City,Iztapalapa,Non Wealthy,Not Prioritized,Service Fee (%),0.1463291071,0.1565869336,0.1465830939,0.1252477506,0.1273142683,0.14494693,0.1188172509,0.1416827361,0.1327038244
Rappi,MX,Mexico City,Iztapalapa,Non Wealthy,Not Prioritized,Avg Delivery Time (mins),34.54,49.61,36.33,44.58,40.96,41.91,35.43,39.64,38.15
Rappi,MX,Mexico City,Iztapalapa,Non Wealthy,Not Prioritized,Customer Satisfaction Score,4.12,4.06,4.09,4.13,4.21,4.02,4.16,3.88,4.1
Rappi,MX,Mexico City,Iztapalapa,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.6469414841,0.679012516,0.6270056031,0.751706716,0.7701130085,0.7738309134,0.715455435,0.7523188517,0.6676996954
Rappi,MX,Mexico City,Iztapalapa,Non Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.5348465864,0.5163244923,0.5028244042,0.4578670758,0.4426961655,0.4684061735,0.4559324275,0.4301100669,0.415563287
Rappi,MX,Mexico City,Iztapalapa,Non Wealthy,Not Prioritized,Orders,65864.16,64401.24,58399.9,60560.88,39983.62,54314.1,63546.72,67042.01,75050.34
Rappi,MX,Mexico City,Tláhuac,Non Wealthy,Not Prioritized,Delivery Fee (MXN),35.75,28.48,35.85,31.73,29.85,30.26,32.06,30.25,36.17
Rappi,MX,Mexico City,Tláhuac,Non Wealthy,Not Prioritized,Service Fee (%),0.1333291458,0.1466181146,0.1334442591,0.128628765,0.1274496677,0.1448623824,0.140608289,0.1583605773,0.1526984904
Rappi,MX,Mexico City,Tláhuac,Non Wealthy,Not Prioritized,Avg Delivery Time (mins),35.94,47.75,47.05,37.09,42.64,47.39,38.76,44.33,45.42
Rappi,MX,Mexico City,Tláhuac,Non Wealthy,Not Prioritized,Customer Satisfaction Score,4.0,4.04,3.98,4.15,3.82,3.83,4.05,3.88,4.04
Rappi,MX,Mexico City,Tláhuac,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.7551791803,0.7195755437,0.6888623475,0.753117148,0.6033762824,0.7349611722,0.6275006337,0.634825873,0.6255699486
Rappi,MX,Mexico City,Tláhuac,Non Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.4277053223,0.4111958161,0.422460763,0.4367975579,0.5400387182,0.4715126777,0.4575763574,0.5580078324,0.4948233285
Rappi,MX,Mexico City,Tláhuac,Non Wealthy,Not Prioritized,Orders,54483.54,67067.53,48441.32,48312.72,43518.73,68533.32,69744.62,73814.2,52859.81
Rappi,MX,Mexico City,Milpa Alta,Non Wealthy,Not Prioritized,Delivery Fee (MXN),39.54,34.54,33.62,29.63,30.23,36.57,27.8,30.2,30.14
Rappi,MX,Mexico City,Milpa Alta,Non Wealthy,Not Prioritized,Service Fee (%),0.1404933821,0.1354488159,0.144159266,0.1567471158,0.1630533861,0.1316561868,0.127028951,0.1382916248,0.1575622759
Rappi,MX,Mexico City,Milpa Alta,Non Wealthy,Not Prioritized,Avg Delivery Time (mins),44.56,35.77,37.84,41.0,44.45,37.79,46.95,43.79,37.28
Rappi,MX,Mexico City,Milpa Alta,Non Wealthy,Not Prioritized,Customer Satisfaction Score,3.9,3.88,3.75,4.19,4.18,3.93,3.91,4.01,4.07
Rappi,MX,Mexico City,Milpa Alta,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.6053489807,0.7381555433,0.634637546,0.6199244691,0.7608483438,0.6066558118,0.6336974279,0.6992163562,0.7191810406
Rappi,MX,Mexico City,Milpa Alta,Non Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.5281110959,0.4514630298,0.4755151981,0.4358287229,0.4531922862,0.4512553989,0.5363751309,0.490194494,0.4615604102
Rappi,MX,Mexico City,Milpa Alta,Non Wealthy,Not Prioritized,Orders,39200.99,66323.32,58613.98,38808.44,82848.07,78230.74,44730.07,61380.37,43840.67
Rappi,MX,Mexico City,Xochimilco,Non Wealthy,Not Prioritized,Delivery Fee (MXN),28.98,35.29,31.42,33.52,38.6,35.21,34.66,31.59,29.52
Rappi,MX,Mexico City,Xochimilco,Non Wealthy,Not Prioritized,Service Fee (%),0.1395989062,0.1498442585,0.1464612004,0.122801564,0.1278018556,0.1420080767,0.1186358915,0.1448362803,0.1192540128
Rappi,MX,Mexico City,Xochimilco,Non Wealthy,Not Prioritized,Avg Delivery Time (mins),48.34,38.95,40.42,42.5,36.07,44.51,36.97,37.42,39.68
Rappi,MX,Mexico City,Xochimilco,Non Wealthy,Not Prioritized,Customer Satisfaction Score,4.03,3.82,4.09,4.06,3.89,4.09,4.21,4.07,4.15
Rappi,MX,Mexico City,Xochimilco,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.6149957463,0.7501562563,0.6633657408,0.6852286156,0.7537854323,0.6068195196,0.7685076557,0.6679294469,0.7759773572
Rappi,MX,Mexico City,Xochimilco,Non Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.5245135363,0.5112309542,0.5383252423,0.5245323624,0.4285352282,0.5716562255,0.392851585,0.4292450333,0.5076939611
Rappi,MX,Mexico City,Xochimilco,Non Wealthy,Not Prioritized,Orders,63517.62,69780.47,63699.0,52441.9,71590.61,68186.19,46117.45,38736.88,74492.65
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Retail SST > SS CVR,0.6316760535213353,0.7032151686581504,0.7012221240336881,0.7377958236640075,0.6582261527225055,0.6610115690647739,0.6587010511359742,0.641065917536326,0.5566426087890012
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Restaurants SST > SS CVR,0.6931330542188661,0.5949730140822997,0.6613269367287846,0.6002133663229603,0.5749993850322563,0.7188970085450986,0.6343257550746941,0.6489909803334171,0.5743771607883481
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Delivery Fee (MXN),15.23119399156719,14.59353916425206,14.5087209762386,16.05641464739115,15.40000882760669,14.47341508606987,14.08742263166891,14.94721943994699,14.57532602250202
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Service Fee (%),0.1708214829614757,0.187382938449942,0.1465151672084578,0.1751093121079733,0.1317386377302827,0.1443683192299096,0.1748692649252607,0.1857013718077864,0.1743594058316776
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Avg Delivery Time (mins),19.75167935530817,18.60326161396461,23.31725087470575,20.69356671771247,19.0764938463157,20.00866750894417,19.50874543167525,22.03870780629443,22.93409563046447
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Customer Satisfaction Score,4.671980580392125,4.499283982110525,4.552284496847668,4.616332077573146,4.680760247145026,4.53528831064826,4.564639836766408,4.472572237032187,4.463585072024722
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Retail SST > SS CVR,0.9065428601305534,0.8796311583854806,0.812911595343258,0.8610129019176228,0.9134512658568215,0.9045828623638291,0.9395748018132057,0.881712151768698,1.033417901850366
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Restaurants SST > SS CVR,0.667750968925906,0.7181228625911834,0.6988201416559815,0.71835854800605,0.6143920634492303,0.7027869147873993,0.7316261377548622,0.7876652114163507,0.6878569982655925
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Delivery Fee (MXN),10.53341656418784,10.31870919185975,11.24702631742428,11.9037646388315,11.00269485595575,11.06009088176264,12.11744011944925,10.9211312798543,10.43628943945489
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Service Fee (%),0.1044677025082472,0.08316302939012452,0.0617348934901253,0.09692759799405919,0.09622629789636546,0.09110746158561689,0.08631344978526473,0.06269777761175938,0.08259228599746049
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Avg Delivery Time (mins),23.30317999974067,22.06518552997153,22.82718500686317,18.35267748028219,20.51119372973913,25.20522482399224,22.36020573765038,19.05029810269321,20.25224367780234
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Customer Satisfaction Score,3.930250939943307,4.035532578877729,4.275833769132155,4.010273461405514,4.059664292116988,4.026038380913102,3.912641754121673,4.143791839335129,4.104702861152304
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Retail SST > SS CVR,0.5787273798287151,0.6880195579428338,0.6890790372901092,0.688435059670795,0.5747867310697113,0.6226635194254284,0.5941471478860335,0.6649769024132974,0.704149019680123
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Restaurants SST > SS CVR,0.5519733852456971,0.4307607429106215,0.5117220632042295,0.4551787287776229,0.5319735359956872,0.462322702752238,0.5857906347148051,0.4691312498471163,0.4921908386536443
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Delivery Fee (MXN),18.73957839357456,19.65244521787672,20.14018403026141,19.62277158067745,20.46020994375986,21.63548613561208,18.77183246151386,18.89045670224725,17.65628197165896
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Service Fee (%),0.1387355025835389,0.125359788773604,0.1208606509259298,0.1199308144681836,0.1218499216512056,0.1013204630296963,0.1195660314044862,0.1207824069272397,0.1006339291007387
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Avg Delivery Time (mins),20.45089770090732,17.6675218922059,22.19992646156611,22.75144299995278,21.57023380668447,18.19223715300154,18.59887282759652,17.84037557068331,21.64118639678596
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Customer Satisfaction Score,4.806217680635732,4.761584744394791,4.869058026660737,4.654839916795055,4.604005111959593,4.590427285432789,4.597797699898798,4.671668557453931,4.713493925877007
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Retail SST > SS CVR,1.006492376122888,0.9729212777731564,1.082744385541644,0.950711549096154,0.8757030142294792,0.9442967947838162,0.8978724962852503,0.9948822776292103,0.9481222808120577
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Restaurants SST > SS CVR,0.5816917488486336,0.5773822004372319,0.6242553644081291,0.6122172209322018,0.5849138940706808,0.5462156538001042,0.5128129784692312,0.5662295921001734,0.6313752794196981
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Delivery Fee (MXN),10.74402220059706,10.12639183178421,10.66398789883412,11.79685043253634,10.26486668317824,9.224976068842748,11.09133646909549,10.08527381971274,10.90636011789356
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Service Fee (%),0.1715723792806657,0.1226950210395691,0.1314919076004085,0.1605491137428841,0.1605241274169551,0.1605493621248319,0.2273030382118054,0.1616662186125743,0.1729597212023229
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Avg Delivery Time (mins),34.50392986150688,34.39169938925871,31.73420680183404,31.03780075873972,34.36938314137274,32.32747970949534,33.96006526107483,32.97001206145394,30.46234453519308
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Customer Satisfaction Score,4.508397062648871,4.425473421876265,4.581561668151945,4.479094610364754,4.364892130662278,4.401136237529212,4.540626383348676,4.399629945283494,4.494312467413406
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Retail SST > SS CVR,0.645292658453927,0.6180115485003306,0.5940126351318891,0.5672791594645477,0.5265980244972971,0.5479445614276405,0.5782418477840515,0.4944123732105186,0.5036159233733448
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Restaurants SST > SS CVR,0.4557715727166065,0.5644775546201559,0.5825159503796391,0.4792133703183442,0.5225031288790856,0.5154809251130852,0.5065617290424475,0.6275009026851879,0.5594772762191809
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Delivery Fee (MXN),16.29966478607318,17.57371950709226,14.59553675447688,17.76608431836462,15.19162711738312,14.64244878734964,15.68497655940611,17.79437420108508,15.90292637971323
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Service Fee (%),0.1086953439468349,0.1222958140501934,0.1023915134387596,0.1599954031566893,0.09874434951884392,0.1185462873441169,0.1299619886237784,0.1561726428593789,0.09862993405446778
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Avg Delivery Time (mins),30.8726761891428,31.88220152152139,29.65781011993865,30.18451838583607,31.35705056517584,30.31491482724982,26.26797120662444,32.62380669495668,28.83245781605909
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Customer Satisfaction Score,4.647625195614373,4.42131492194919,4.495325152101206,4.464592618226251,4.374223479470689,4.415681206417021,4.387193337986864,4.377556955758327,4.52145364115485
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Retail SST > SS CVR,0.6066829685031628,0.6317099261839467,0.5771831094079517,0.5881481205126143,0.5275973709475725,0.6029201463084444,0.5866692643340818,0.5235760159144539,0.469698833214239
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Restaurants SST > SS CVR,0.8271779751569057,0.9155613494295004,0.8780968477493037,0.8773224202096375,0.943145322970358,0.9294772978204,0.9288819621710304,0.953480420728715,0.8892566724526364
